day,L,M,S
66,1,57.565899999999999,3.5589999999999997E-2
67,1,57.661299999999997,3.5569999999999997E-2
68,1,57.756,3.5549999999999998E-2
69,1,57.850099999999998,3.5529999999999999E-2
70,1,57.943600000000004,3.5520000000000003E-2
71,1,58.036499999999997,3.5499999999999997E-2
72,1,58.128799999999998,3.5479999999999998E-2
73,1,58.220599999999997,3.5470000000000002E-2
74,1,58.311700000000002,3.5450000000000002E-2
75,1,58.402200000000001,3.5430000000000003E-2
76,1,58.492199999999997,3.542E-2
77,1,58.581600000000002,3.5400000000000001E-2
78,1,58.670499999999997,3.5389999999999998E-2
79,1,58.758800000000001,3.5369999999999999E-2
80,1,58.846499999999999,3.5360000000000003E-2
81,1,58.933700000000002,3.5340000000000003E-2
82,1,59.020400000000002,3.533E-2
83,1,59.1066,3.5310000000000001E-2
84,1,59.1922,3.5299999999999998E-2
85,1,59.277299999999997,3.5279999999999999E-2
86,1,59.361899999999999,3.5270000000000003E-2
87,1,59.445900000000002,3.526E-2
88,1,59.529499999999999,3.524E-2
89,1,59.6126,3.5229999999999997E-2
90,1,59.6952,3.5209999999999998E-2
91,1,59.777299999999997,3.5200000000000002E-2
92,1,59.858899999999998,3.5189999999999999E-2
93,1,59.940100000000001,3.517E-2
94,1,60.020899999999997,3.5159999999999997E-2
95,1,60.101100000000002,3.5150000000000001E-2
96,1,60.180999999999997,3.5139999999999998E-2
97,1,60.260300000000001,3.5119999999999998E-2
98,1,60.339300000000001,3.5110000000000002E-2
99,1,60.4178,3.5099999999999999E-2
100,1,60.495800000000003,3.5090000000000003E-2
101,1,60.573399999999999,3.508E-2
102,1,60.650599999999997,3.5060000000000001E-2
103,1,60.7273,3.5049999999999998E-2
104,1,60.803600000000003,3.5040000000000002E-2
105,1,60.8795,3.5029999999999999E-2
106,1,60.954999999999998,3.5020000000000003E-2
107,1,61.030099999999997,3.5009999999999999E-2
108,1,61.104700000000001,3.5000000000000003E-2
109,1,61.178899999999999,3.499E-2
110,1,61.252699999999997,3.4970000000000001E-2
