day,L,M,S
160,1,41.660899999999998,3.0980000000000001E-2
161,1,41.686100000000003,3.0980000000000001E-2
162,1,41.711199999999998,3.0970000000000001E-2
163,1,41.736199999999997,3.0970000000000001E-2
164,1,41.761000000000003,3.0960000000000001E-2
165,1,41.785699999999999,3.0960000000000001E-2
166,1,41.810200000000002,3.0949999999999998E-2
167,1,41.834600000000002,3.0949999999999998E-2
168,1,41.858899999999998,3.0939999999999999E-2
169,1,41.883099999999999,3.0939999999999999E-2
170,1,41.9071,3.0929999999999999E-2
171,1,41.930999999999997,3.0929999999999999E-2
172,1,41.954799999999999,3.092E-2
173,1,41.978400000000001,3.092E-2
174,1,42.001899999999999,3.091E-2
175,1,42.025300000000001,3.091E-2
176,1,42.048499999999997,3.09E-2
177,1,42.0717,3.09E-2
178,1,42.094700000000003,3.0890000000000001E-2
179,1,42.117600000000003,3.0890000000000001E-2
180,1,42.140300000000003,3.0890000000000001E-2
181,1,42.162999999999997,3.0880000000000001E-2
182,1,42.185499999999998,3.0880000000000001E-2
183,1,42.207900000000002,3.0870000000000002E-2
184,1,42.230200000000004,3.0870000000000002E-2
185,1,42.252299999999998,3.0859999999999999E-2
186,1,42.2744,3.0859999999999999E-2
187,1,42.296300000000002,3.0849999999999999E-2
188,1,42.318100000000001,3.0849999999999999E-2
189,1,42.339799999999997,3.0849999999999999E-2
190,1,42.361400000000003,3.0839999999999999E-2
191,1,42.382899999999999,3.0839999999999999E-2
192,1,42.404200000000003,3.083E-2
193,1,42.4255,3.083E-2
194,1,42.446599999999997,3.082E-2
195,1,42.467599999999997,3.082E-2
196,1,42.488500000000002,3.082E-2
197,1,42.509300000000003,3.0810000000000001E-2
198,1,42.53,3.0810000000000001E-2
199,1,42.550600000000003,3.0800000000000001E-2
200,1,42.571100000000001,3.0800000000000001E-2
201,1,42.591500000000003,3.0790000000000001E-2
202,1,42.611699999999999,3.0790000000000001E-2
203,1,42.631900000000002,3.0790000000000001E-2
204,1,42.651899999999998,3.0779999999999998E-2
205,1,42.671900000000001,3.0779999999999998E-2
206,1,42.691699999999997,3.0769999999999999E-2
207,1,42.711500000000001,3.0769999999999999E-2
208,1,42.731099999999998,3.0769999999999999E-2
209,1,42.750700000000002,3.0759999999999999E-2
210,1,42.770099999999999,3.0759999999999999E-2
211,1,42.789400000000001,3.075E-2
212,1,42.808700000000002,3.075E-2
213,1,42.827800000000003,3.075E-2
214,1,42.846899999999998,3.074E-2
215,1,42.8658,3.074E-2
216,1,42.884599999999999,3.073E-2
217,1,42.903399999999998,3.073E-2
218,1,42.921999999999997,3.073E-2
219,1,42.940600000000003,3.0720000000000001E-2
220,1,42.959099999999999,3.0720000000000001E-2
221,1,42.977400000000003,3.0720000000000001E-2
222,1,42.995699999999999,3.0710000000000001E-2
223,1,43.0139,3.0710000000000001E-2
224,1,43.031999999999996,3.0700000000000002E-2
225,1,43.05,3.0700000000000002E-2
226,1,43.067900000000002,3.0700000000000002E-2
227,1,43.085700000000003,3.0689999999999999E-2
228,1,43.103400000000001,3.0689999999999999E-2
229,1,43.121099999999998,3.0689999999999999E-2
230,1,43.138599999999997,3.0679999999999999E-2
231,1,43.156100000000002,3.0679999999999999E-2
232,1,43.173400000000001,3.0669999999999999E-2
233,1,43.1907,3.0669999999999999E-2
234,1,43.207900000000002,3.0669999999999999E-2
235,1,43.225000000000001,3.066E-2
236,1,43.242100000000001,3.066E-2
237,1,43.259,3.066E-2
238,1,43.2759,3.065E-2
239,1,43.2926,3.065E-2
240,1,43.3093,3.065E-2
241,1,43.325899999999997,3.0640000000000001E-2
242,1,43.342399999999998,3.0640000000000001E-2
243,1,43.358899999999998,3.0630000000000001E-2
244,1,43.375300000000003,3.0630000000000001E-2
245,1,43.391500000000001,3.0630000000000001E-2
246,1,43.407699999999998,3.0620000000000001E-2
247,1,43.423900000000003,3.0620000000000001E-2
248,1,43.439900000000002,3.0620000000000001E-2
249,1,43.4559,3.0609999999999998E-2
250,1,43.471699999999998,3.0609999999999998E-2
251,1,43.4876,3.0609999999999998E-2
252,1,43.503300000000003,3.0599999999999999E-2
253,1,43.518900000000002,3.0599999999999999E-2
254,1,43.534500000000001,3.0599999999999999E-2
255,1,43.55,3.0589999999999999E-2
256,1,43.565399999999997,3.0589999999999999E-2
257,1,43.580800000000004,3.0589999999999999E-2
258,1,43.5961,3.058E-2
259,1,43.6113,3.058E-2
260,1,43.626399999999997,3.058E-2
261,1,43.641500000000001,3.057E-2
262,1,43.656399999999998,3.057E-2
263,1,43.671399999999998,3.057E-2
264,1,43.686199999999999,3.056E-2
265,1,43.701000000000001,3.056E-2
266,1,43.715699999999998,3.056E-2
267,1,43.7303,3.0550000000000001E-2
268,1,43.744900000000001,3.0550000000000001E-2
269,1,43.759399999999999,3.0550000000000001E-2
