day,L,M,S
0,0.34870000000000001,3.3464,0.14602000000000001
1,0.31269999999999998,3.3174000000000001,0.14693000000000001
2,0.3029,3.3370000000000002,0.14676
3,0.2959,3.3626999999999998,0.14646999999999999
4,0.2903,3.3915000000000002,0.14610999999999999
5,0.28549999999999998,3.4222999999999999,0.14571000000000001
6,0.28129999999999999,3.4544999999999999,0.14527999999999999
7,0.27760000000000001,3.4878999999999998,0.14482999999999999
8,0.2742,3.5222000000000002,0.14435999999999999
9,0.27110000000000001,3.5575999999999999,0.14388000000000001
10,0.2681,3.5941000000000001,0.14338999999999999
11,0.26540000000000002,3.6318999999999999,0.1429
12,0.26279999999999998,3.6709999999999998,0.14241000000000001
13,0.26040000000000002,3.7113,0.14191999999999999
14,0.2581,3.7528999999999999,0.14141999999999999
15,0.25580000000000003,3.7955999999999999,0.14093
16,0.25369999999999998,3.8389000000000002,0.14044000000000001
17,0.25169999999999998,3.8828,0.13996
18,0.24970000000000001,3.927,0.13947999999999999
19,0.24779999999999999,3.9714,0.13900000000000001
20,0.246,4.0157999999999996,0.13852999999999999
21,0.2442,4.0602999999999998,0.13807
22,0.24249999999999999,4.1045999999999996,0.13761000000000001
23,0.24079999999999999,4.1489000000000003,0.13714999999999999
24,0.2392,4.1929999999999996,0.13669999999999999
25,0.23760000000000001,4.2369000000000003,0.13625999999999999
26,0.2361,4.2805999999999997,0.13582
27,0.2346,4.3239999999999998,0.13539000000000001
28,0.2331,4.3670999999999998,0.13497000000000001
29,0.23169999999999999,4.41,0.13455
30,0.2303,4.4524999999999997,0.13413
31,0.22900000000000001,4.4946000000000002,0.13372000000000001
32,0.2276,4.5362999999999998,0.13331999999999999
33,0.2263,4.5776000000000003,0.13292000000000001
34,0.22500000000000001,4.6185,0.13253000000000001
35,0.22370000000000001,4.6589999999999998,0.13214999999999999
36,0.2225,4.6989999999999998,0.13177
37,0.2213,4.7385999999999999,0.13139000000000001
38,0.22009999999999999,4.7778,0.13102
39,0.21890000000000001,4.8166000000000002,0.13066
40,0.21779999999999999,4.8548999999999998,0.1303
41,0.21659999999999999,4.8928000000000003,0.12994
42,0.2155,4.9302999999999999,0.12959999999999999
43,0.21440000000000001,4.9673999999999996,0.12925
44,0.21329999999999999,5.0041000000000002,0.12891
45,0.2122,5.0404,0.12858
46,0.2112,5.0762999999999998,0.12825
47,0.21010000000000001,5.1117999999999997,0.12792000000000001
48,0.20910000000000001,5.1468999999999996,0.12759999999999999
49,0.20810000000000001,5.1817000000000002,0.12728999999999999
50,0.20710000000000001,5.2161,0.12698000000000001
51,0.20610000000000001,5.2500999999999998,0.12667
52,0.20519999999999999,5.2836999999999996,0.12637000000000001
53,0.20419999999999999,5.3170999999999999,0.12606999999999999
54,0.20319999999999999,5.35,0.12576999999999999
55,0.20230000000000001,5.3826000000000001,0.12548000000000001
56,0.2014,5.4149000000000003,0.12520000000000001
57,0.20050000000000001,5.4467999999999996,0.12490999999999999
58,0.1996,5.4783999999999997,0.12463
59,0.19869999999999999,5.5096999999999996,0.12436
60,0.1978,5.5407000000000002,0.12409000000000001
61,0.19689999999999999,5.5713999999999997,0.12382
62,0.19600000000000001,5.6017999999999999,0.12356
63,0.19520000000000001,5.6318999999999999,0.12330000000000001
64,0.1943,5.6616999999999997,0.12304
65,0.19350000000000001,5.6912000000000003,0.12279
66,0.19259999999999999,5.7205000000000004,0.12254
67,0.1918,5.7493999999999996,0.12229
68,0.191,5.7781000000000002,0.12205000000000001
69,0.19020000000000001,5.8064999999999998,0.12181
70,0.18940000000000001,5.8346,0.12157
71,0.18859999999999999,5.8624999999999998,0.12134
72,0.18779999999999999,5.8901000000000003,0.12111
73,0.187,5.9173999999999998,0.12088
74,0.18629999999999999,5.9444999999999997,0.12066
75,0.1855,5.9713000000000003,0.12044000000000001
76,0.1847,5.9978999999999996,0.12021999999999999
77,0.184,6.0242000000000004,0.12001000000000001
78,0.1832,6.0503,0.1198
79,0.1825,6.0762,0.11959
80,0.18179999999999999,6.1017999999999999,0.11939
81,0.18099999999999999,6.1272000000000002,0.11917999999999999
82,0.18029999999999999,6.1523000000000003,0.11899
83,0.17960000000000001,6.1772,0.11879000000000001
84,0.1789,6.2019000000000002,0.1186
85,0.1782,6.2263999999999999,0.11841
86,0.17749999999999999,6.2507000000000001,0.11822000000000001
87,0.17680000000000001,6.2747999999999999,0.11803
88,0.17610000000000001,6.2986000000000004,0.11785
89,0.1754,6.3223000000000003,0.11767
90,0.17469999999999999,6.3456999999999999,0.11749999999999999
91,0.17399999999999999,6.3689999999999998,0.11731999999999999
92,0.1734,6.3921000000000001,0.11715
93,0.17269999999999999,6.4149000000000003,0.11698
94,0.17199999999999999,6.4375999999999998,0.11681999999999999
95,0.1714,6.4600999999999997,0.11666
96,0.17069999999999999,6.4824000000000002,0.11649
97,0.1701,6.5045999999999999,0.11634
98,0.1694,6.5265000000000004,0.11618000000000001
99,0.16880000000000001,6.5483000000000002,0.11602999999999999
100,0.16819999999999999,6.5698999999999996,0.11588
101,0.16750000000000001,6.5914000000000001,0.11573
102,0.16689999999999999,6.6125999999999996,0.11558
103,0.1663,6.6337999999999999,0.11544
104,0.16569999999999999,6.6547000000000001,0.1153
105,0.1651,6.6755000000000004,0.11516
106,0.16439999999999999,6.6962000000000002,0.11502
107,0.1638,6.7165999999999997,0.11489000000000001
108,0.16320000000000001,6.7370000000000001,0.11476
109,0.16259999999999999,6.7572000000000001,0.11463
110,0.16200000000000001,6.7771999999999997,0.1145
111,0.16139999999999999,6.7971000000000004,0.11438
112,0.16089999999999999,6.8167999999999997,0.11425
113,0.1603,6.8365,0.11413
114,0.15970000000000001,6.8559000000000001,0.11401
115,0.15909999999999999,6.8753000000000002,0.1139
116,0.1585,6.8944999999999999,0.11378000000000001
117,0.158,6.9135,0.11366999999999999
118,0.15740000000000001,6.9325000000000001,0.11355999999999999
