length_cm,L,M,S
72.400000000000006,-0.38329999999999997,8.6476000000000006,9.0389999999999998E-2
72.5,-0.38329999999999997,8.6674000000000007,9.0370000000000006E-2
72.599999999999994,-0.38329999999999997,8.6872000000000007,9.0359999999999996E-2
72.7,-0.38329999999999997,8.7070000000000007,9.035E-2
72.8,-0.38329999999999997,8.7266999999999992,9.0340000000000004E-2
72.900000000000006,-0.38329999999999997,8.7463999999999995,9.0319999999999998E-2
73,-0.38329999999999997,8.7660999999999998,9.0310000000000001E-2
73.099999999999994,-0.38329999999999997,8.7857000000000003,9.0300000000000005E-2
73.2,-0.38329999999999997,8.8053000000000008,9.0279999999999999E-2
73.3,-0.38329999999999997,8.8247999999999998,9.0270000000000003E-2
73.400000000000006,-0.38329999999999997,8.8443000000000005,9.0260000000000007E-2
73.5,-0.38329999999999997,8.8637999999999995,9.0249999999999997E-2
73.599999999999994,-0.38329999999999997,8.8831000000000007,9.0230000000000005E-2
73.7,-0.38329999999999997,8.9024999999999999,9.0219999999999995E-2
73.8,-0.38329999999999997,8.9216999999999995,9.0209999999999999E-2
73.900000000000006,-0.38329999999999997,8.9410000000000007,9.0200000000000002E-2
74,-0.38329999999999997,8.9601000000000006,9.0179999999999996E-2
74.099999999999994,-0.38329999999999997,8.9792000000000005,9.017E-2
74.2,-0.38329999999999997,8.9983000000000004,9.0160000000000004E-2
74.3,-0.38329999999999997,9.0173000000000005,9.0139999999999998E-2
74.400000000000006,-0.38329999999999997,9.0363000000000007,9.0130000000000002E-2
74.5,-0.38329999999999997,9.0551999999999992,9.0120000000000006E-2
74.599999999999994,-0.38329999999999997,9.0739999999999998,9.0109999999999996E-2
74.7,-0.38329999999999997,9.0928000000000004,9.0090000000000003E-2
74.8,-0.38329999999999997,9.1115999999999993,9.0079999999999993E-2
74.900000000000006,-0.38329999999999997,9.1303000000000001,9.0069999999999997E-2
75,-0.38329999999999997,9.1489999999999991,9.0050000000000005E-2
75.099999999999994,-0.38329999999999997,9.1676000000000002,9.0039999999999995E-2
75.2,-0.38329999999999997,9.1861999999999995,9.0029999999999999E-2
75.3,-0.38329999999999997,9.2048000000000005,9.0010000000000007E-2
75.400000000000006,-0.38329999999999997,9.2233000000000001,0.09
75.5,-0.38329999999999997,9.2417999999999996,8.9990000000000001E-2
75.599999999999994,-0.38329999999999997,9.2601999999999993,8.9969999999999994E-2
75.7,-0.38329999999999997,9.2786000000000008,8.9959999999999998E-2
75.8,-0.38329999999999997,9.2970000000000006,8.9950000000000002E-2
75.900000000000006,-0.38329999999999997,9.3154000000000003,8.9929999999999996E-2
76,-0.38329999999999997,9.3337000000000003,8.992E-2
76.099999999999994,-0.38329999999999997,9.3520000000000003,8.9910000000000004E-2
76.2,-0.38329999999999997,9.3703000000000003,8.9889999999999998E-2
