length_cm,L,M,S
62.5,-0.35210000000000002,6.6527000000000003,8.2659999999999997E-2
62.6,-0.35210000000000002,6.6779999999999999,8.2640000000000005E-2
62.7,-0.35210000000000002,6.7032999999999996,8.2610000000000003E-2
62.8,-0.35210000000000002,6.7283999999999997,8.2589999999999997E-2
62.9,-0.35210000000000002,6.7534999999999998,8.2570000000000005E-2
63,-0.35210000000000002,6.7786,8.2549999999999998E-2
63.1,-0.35210000000000002,6.8034999999999997,8.2530000000000006E-2
63.2,-0.35210000000000002,6.8285,8.251E-2
63.3,-0.35210000000000002,6.8532999999999999,8.2489999999999994E-2
63.4,-0.35210000000000002,6.8780999999999999,8.2470000000000002E-2
63.5,-0.35210000000000002,6.9028,8.2449999999999996E-2
63.6,-0.35210000000000002,6.9275000000000002,8.2430000000000003E-2
63.7,-0.35210000000000002,6.9520999999999997,8.2409999999999997E-2
63.8,-0.35210000000000002,6.9766000000000004,8.2400000000000001E-2
63.9,-0.35210000000000002,7.0011000000000001,8.2379999999999995E-2
64,-0.35210000000000002,7.0255000000000001,8.2360000000000003E-2
64.099999999999994,-0.35210000000000002,7.0499000000000001,8.2350000000000007E-2
64.2,-0.35210000000000002,7.0742000000000003,8.233E-2
64.3,-0.35210000000000002,7.0983999999999998,8.2320000000000004E-2
64.400000000000006,-0.35210000000000002,7.1226000000000003,8.2299999999999998E-2
64.5,-0.35210000000000002,7.1467000000000001,8.2290000000000002E-2
64.599999999999994,-0.35210000000000002,7.1707999999999998,8.2280000000000006E-2
64.7,-0.35210000000000002,7.1947999999999999,8.2269999999999996E-2
64.8,-0.35210000000000002,7.2187999999999999,8.2250000000000004E-2
64.900000000000006,-0.35210000000000002,7.2427000000000001,8.2239999999999994E-2
65,-0.35210000000000002,7.2666000000000004,8.2229999999999998E-2
65.099999999999994,-0.35210000000000002,7.2904999999999998,8.2220000000000001E-2
65.2,-0.35210000000000002,7.3143000000000002,8.2210000000000005E-2
65.3,-0.35210000000000002,7.3380000000000001,8.2199999999999995E-2
65.400000000000006,-0.35210000000000002,7.3616999999999999,8.2189999999999999E-2
65.5,-0.35210000000000002,7.3853999999999997,8.2180000000000003E-2
65.599999999999994,-0.35210000000000002,7.4090999999999996,8.2180000000000003E-2
65.7,-0.35210000000000002,7.4326999999999996,8.2170000000000007E-2
65.8,-0.35210000000000002,7.4562999999999997,8.2159999999999997E-2
65.900000000000006,-0.35210000000000002,7.4798999999999998,8.2159999999999997E-2
66,-0.35210000000000002,7.5034000000000001,8.2150000000000001E-2
66.099999999999994,-0.35210000000000002,7.5269000000000004,8.2140000000000005E-2
66.2,-0.35210000000000002,7.5503999999999998,8.2140000000000005E-2
66.3,-0.35210000000000002,7.5738000000000003,8.2140000000000005E-2
66.400000000000006,-0.35210000000000002,7.5972999999999997,8.2129999999999995E-2
66.5,-0.35210000000000002,7.6205999999999996,8.2129999999999995E-2
66.599999999999994,-0.35210000000000002,7.6440000000000001,8.2129999999999995E-2
66.7,-0.35210000000000002,7.6673,8.2119999999999999E-2
66.8,-0.35210000000000002,7.6905999999999999,8.2119999999999999E-2
66.900000000000006,-0.35210000000000002,7.7138,8.2119999999999999E-2
67,-0.35210000000000002,7.7370000000000001,8.2119999999999999E-2
67.099999999999994,-0.35210000000000002,7.7602000000000002,8.2119999999999999E-2
67.2,-0.35210000000000002,7.7834000000000003,8.2119999999999999E-2
67.3,-0.35210000000000002,7.8064999999999998,8.2119999999999999E-2
67.400000000000006,-0.35210000000000002,7.8296000000000001,8.2119999999999999E-2
67.5,-0.35210000000000002,7.8525999999999998,8.2119999999999999E-2
67.599999999999994,-0.35210000000000002,7.8757000000000001,8.2119999999999999E-2
67.7,-0.35210000000000002,7.8986000000000001,8.2129999999999995E-2
67.8,-0.35210000000000002,7.9215999999999998,8.2129999999999995E-2
67.900000000000006,-0.35210000000000002,7.9444999999999997,8.2129999999999995E-2
68,-0.35210000000000002,7.9673999999999996,8.2140000000000005E-2
68.099999999999994,-0.35210000000000002,7.9903000000000004,8.2140000000000005E-2
68.2,-0.35210000000000002,8.0131999999999994,8.2140000000000005E-2
68.3,-0.35210000000000002,8.0359999999999996,8.2150000000000001E-2
68.400000000000006,-0.35210000000000002,8.0587999999999997,8.2150000000000001E-2
68.5,-0.35210000000000002,8.0815999999999999,8.2159999999999997E-2
68.599999999999994,-0.35210000000000002,8.1044,8.2170000000000007E-2
68.7,-0.35210000000000002,8.1272000000000002,8.2170000000000007E-2
68.8,-0.35210000000000002,8.15,8.2180000000000003E-2
68.900000000000006,-0.35210000000000002,8.1727000000000007,8.2189999999999999E-2
69,-0.35210000000000002,8.1954999999999991,8.2189999999999999E-2
69.099999999999994,-0.35210000000000002,8.2182999999999993,8.2199999999999995E-2
69.2,-0.35210000000000002,8.2409999999999997,8.2210000000000005E-2
69.3,-0.35210000000000002,8.2637999999999998,8.2220000000000001E-2
69.400000000000006,-0.35210000000000002,8.2865000000000002,8.2229999999999998E-2
69.5,-0.35210000000000002,8.3092000000000006,8.2239999999999994E-2
69.599999999999994,-0.35210000000000002,8.3320000000000007,8.2250000000000004E-2
69.7,-0.35210000000000002,8.3546999999999993,8.226E-2
69.8,-0.35210000000000002,8.3773999999999997,8.2269999999999996E-2
69.900000000000006,-0.35210000000000002,8.4001000000000001,8.2280000000000006E-2
70,-0.35210000000000002,8.4227000000000007,8.2290000000000002E-2
70.099999999999994,-0.35210000000000002,8.4453999999999994,8.2299999999999998E-2
70.2,-0.35210000000000002,8.468,8.2309999999999994E-2
70.3,-0.35210000000000002,8.4906000000000006,8.2320000000000004E-2
70.400000000000006,-0.35210000000000002,8.5131999999999994,8.233E-2
70.5,-0.35210000000000002,8.5358000000000001,8.2350000000000007E-2
70.599999999999994,-0.35210000000000002,8.5582999999999991,8.2360000000000003E-2
70.7,-0.35210000000000002,8.5808,8.2369999999999999E-2
70.8,-0.35210000000000002,8.6031999999999993,8.2379999999999995E-2
70.900000000000006,-0.35210000000000002,8.6257000000000001,8.2400000000000001E-2
71,-0.35210000000000002,8.6479999999999997,8.2409999999999997E-2
71.099999999999994,-0.35210000000000002,8.6704000000000008,8.2419999999999993E-2
71.2,-0.35210000000000002,8.6927000000000003,8.2430000000000003E-2
71.3,-0.35210000000000002,8.7149999999999999,8.2449999999999996E-2
71.400000000000006,-0.35210000000000002,8.7371999999999996,8.2460000000000006E-2
71.5,-0.35210000000000002,8.7593999999999994,8.2479999999999998E-2
71.599999999999994,-0.35210000000000002,8.7814999999999994,8.2489999999999994E-2
71.7,-0.35210000000000002,8.8035999999999994,8.2500000000000004E-2
71.8,-0.35210000000000002,8.8256999999999994,8.2519999999999996E-2
71.900000000000006,-0.35210000000000002,8.8476999999999997,8.2530000000000006E-2
72,-0.35210000000000002,8.8696999999999999,8.2540000000000002E-2
72.099999999999994,-0.35210000000000002,8.8916000000000004,8.2559999999999995E-2
