day,L,M,S
52,1,57.434899999999999,3.458E-2
53,1,57.549700000000001,3.4540000000000001E-2
54,1,57.663699999999999,3.4500000000000003E-2
55,1,57.776699999999998,3.4459999999999998E-2
56,1,57.8889,3.4419999999999999E-2
57,1,58.000300000000003,3.4380000000000001E-2
58,1,58.110900000000001,3.4340000000000002E-2
59,1,58.220700000000001,3.431E-2
60,1,58.329900000000002,3.4270000000000002E-2
61,1,58.438400000000001,3.4229999999999997E-2
62,1,58.546300000000002,3.4200000000000001E-2
63,1,58.653599999999997,3.4160000000000003E-2
64,1,58.760300000000001,3.4119999999999998E-2
65,1,58.866399999999999,3.4090000000000002E-2
66,1,58.971800000000002,3.4049999999999997E-2
67,1,59.076599999999999,3.4020000000000002E-2
68,1,59.180799999999998,3.3980000000000003E-2
69,1,59.284300000000002,3.3950000000000001E-2
70,1,59.3872,3.3919999999999999E-2
71,1,59.489400000000003,3.388E-2
72,1,59.591000000000001,3.3849999999999998E-2
73,1,59.692,3.3820000000000003E-2
74,1,59.792299999999997,3.3790000000000001E-2
75,1,59.892000000000003,3.3750000000000002E-2
76,1,59.991,3.372E-2
77,1,60.089399999999998,3.3689999999999998E-2
78,1,60.187199999999997,3.3660000000000002E-2
79,1,60.284300000000002,3.363E-2
80,1,60.380800000000001,3.3599999999999998E-2
81,1,60.476700000000001,3.3570000000000003E-2
82,1,60.571899999999999,3.354E-2
83,1,60.666499999999999,3.3509999999999998E-2
84,1,60.7605,3.3480000000000003E-2
85,1,60.853900000000003,3.3450000000000001E-2
86,1,60.946599999999997,3.3419999999999998E-2
87,1,61.038800000000002,3.3399999999999999E-2
88,1,61.130299999999998,3.3369999999999997E-2
89,1,61.221200000000003,3.3340000000000002E-2
90,1,61.311500000000002,3.3309999999999999E-2
91,1,61.401299999999999,3.329E-2
92,1,61.490400000000001,3.3259999999999998E-2
93,1,61.579000000000001,3.3230000000000003E-2
94,1,61.667000000000002,3.3210000000000003E-2
95,1,61.754300000000001,3.3180000000000001E-2
96,1,61.841099999999997,3.3160000000000002E-2
97,1,61.927399999999999,3.313E-2
98,1,62.012999999999998,3.3110000000000001E-2
99,1,62.098100000000002,3.3079999999999998E-2
100,1,62.182600000000001,3.3059999999999999E-2
101,1,62.266500000000001,3.3029999999999997E-2
102,1,62.349899999999998,3.3009999999999998E-2
103,1,62.432699999999997,3.2980000000000002E-2
104,1,62.514899999999997,3.2960000000000003E-2
105,1,62.596600000000002,3.2939999999999997E-2
106,1,62.677799999999998,3.2910000000000002E-2
107,1,62.758400000000002,3.2890000000000003E-2
108,1,62.8384,3.2870000000000003E-2
109,1,62.917999999999999,3.2840000000000001E-2
110,1,62.996899999999997,3.2820000000000002E-2
111,1,63.075400000000002,3.2800000000000003E-2
112,1,63.153300000000002,3.2779999999999997E-2
113,1,63.230699999999999,3.2759999999999997E-2
114,1,63.307600000000001,3.2730000000000002E-2
115,1,63.383899999999997,3.2710000000000003E-2
116,1,63.459800000000001,3.2689999999999997E-2
117,1,63.5351,3.2669999999999998E-2
118,1,63.609900000000003,3.2649999999999998E-2
119,1,63.684199999999997,3.2629999999999999E-2
120,1,63.758000000000003,3.261E-2
121,1,63.831299999999999,3.2590000000000001E-2
122,1,63.9041,3.2570000000000002E-2
123,1,63.976500000000001,3.2550000000000003E-2
124,1,64.048299999999998,3.2530000000000003E-2
125,1,64.119699999999995,3.2509999999999997E-2
126,1,64.190600000000003,3.2489999999999998E-2
127,1,64.260999999999996,3.2469999999999999E-2
128,1,64.331000000000003,3.245E-2
129,1,64.400599999999997,3.243E-2
130,1,64.469700000000003,3.2410000000000001E-2
131,1,64.538300000000007,3.2390000000000002E-2
132,1,64.6066,3.2379999999999999E-2
133,1,64.674400000000006,3.236E-2
134,1,64.741799999999998,3.2340000000000001E-2
135,1,64.808800000000005,3.2320000000000002E-2
136,1,64.875500000000002,3.2300000000000002E-2
137,1,64.941699999999997,3.2289999999999999E-2
138,1,65.007499999999993,3.227E-2
139,1,65.072999999999993,3.2250000000000001E-2
140,1,65.138000000000005,3.2230000000000002E-2
141,1,65.202699999999993,3.2219999999999999E-2
142,1,65.267099999999999,3.2199999999999999E-2
143,1,65.331000000000003,3.218E-2
144,1,65.394599999999997,3.2169999999999997E-2
145,1,65.457899999999995,3.2149999999999998E-2
146,1,65.520799999999994,3.2140000000000002E-2
147,1,65.583399999999997,3.2120000000000003E-2
148,1,65.645600000000002,3.2099999999999997E-2
149,1,65.707499999999996,3.209E-2
150,1,65.769000000000005,3.2070000000000001E-2
151,1,65.830299999999994,3.2059999999999998E-2
152,1,65.891199999999998,3.2039999999999999E-2
153,1,65.951800000000006,3.2030000000000003E-2
154,1,66.012100000000004,3.2009999999999997E-2
155,1,66.072100000000006,3.2000000000000001E-2
156,1,66.131699999999995,3.1980000000000001E-2
157,1,66.191100000000006,3.1969999999999998E-2
158,1,66.250200000000007,3.1960000000000002E-2
159,1,66.308899999999994,3.1940000000000003E-2
160,1,66.367400000000004,3.193E-2
161,1,66.425600000000003,3.1910000000000001E-2
162,1,66.483500000000006,3.1899999999999998E-2
163,1,66.541200000000003,3.1890000000000002E-2
164,1,66.598500000000001,3.1870000000000002E-2
165,1,66.655600000000007,3.1859999999999999E-2
166,1,66.712500000000006,3.1850000000000003E-2
167,1,66.769099999999995,3.1829999999999997E-2
168,1,66.825400000000002,3.1820000000000001E-2
169,1,66.881500000000003,3.1809999999999998E-2
170,1,66.937299999999993,3.1800000000000002E-2
171,1,66.992999999999995,3.1789999999999999E-2
172,1,67.048299999999998,3.177E-2
173,1,67.103499999999997,3.1759999999999997E-2
174,1,67.1584,3.175E-2
175,1,67.213200000000001,3.1739999999999997E-2
176,1,67.267700000000005,3.1730000000000001E-2
177,1,67.321899999999999,3.1710000000000002E-2
178,1,67.376000000000005,3.1699999999999999E-2
179,1,67.429900000000004,3.1690000000000003E-2
180,1,67.483599999999996,3.168E-2
181,1,67.537099999999995,3.1669999999999997E-2
182,1,67.590400000000002,3.1660000000000001E-2
183,1,67.643500000000003,3.1649999999999998E-2
184,1,67.696399999999997,3.1640000000000001E-2
185,1,67.749099999999999,3.1629999999999998E-2
186,1,67.801699999999997,3.1620000000000002E-2
187,1,67.854100000000003,3.1609999999999999E-2
188,1,67.906199999999998,3.1600000000000003E-2
189,1,67.958299999999994,3.159E-2
190,1,68.010099999999994,3.1579999999999997E-2
191,1,68.061800000000005,3.1570000000000001E-2
192,1,68.113299999999995,3.1559999999999998E-2
193,1,68.164699999999996,3.1550000000000002E-2
194,1,68.215800000000002,3.1539999999999999E-2
195,1,68.266900000000007,3.1530000000000002E-2
196,1,68.317700000000002,3.1519999999999999E-2
197,1,68.368499999999997,3.1519999999999999E-2
198,1,68.418999999999997,3.1510000000000003E-2
199,1,68.469499999999996,3.15E-2
200,1,68.519800000000004,3.1489999999999997E-2
201,1,68.569900000000004,3.1480000000000001E-2
202,1,68.619900000000001,3.1469999999999998E-2
203,1,68.669799999999995,3.1469999999999998E-2
204,1,68.719499999999996,3.1460000000000002E-2
205,1,68.769099999999995,3.1449999999999999E-2
206,1,68.818600000000004,3.1440000000000003E-2
207,1,68.867900000000006,3.1440000000000003E-2
208,1,68.917100000000005,3.143E-2
209,1,68.966200000000001,3.1419999999999997E-2
210,1,69.015199999999993,3.141E-2
211,1,69.064099999999996,3.141E-2
212,1,69.112799999999993,3.1399999999999997E-2
213,1,69.161500000000004,3.1390000000000001E-2
214,1,69.209999999999994,3.1390000000000001E-2
215,1,69.258399999999995,3.1379999999999998E-2
216,1,69.306700000000006,3.1370000000000002E-2
217,1,69.354900000000001,3.1370000000000002E-2
218,1,69.403099999999995,3.1359999999999999E-2
219,1,69.451099999999997,3.1359999999999999E-2
220,1,69.498999999999995,3.1350000000000003E-2
221,1,69.546800000000005,3.134E-2
222,1,69.594499999999996,3.134E-2
223,1,69.642099999999999,3.1329999999999997E-2
224,1,69.689599999999999,3.1329999999999997E-2
225,1,69.736999999999995,3.1320000000000001E-2
226,1,69.784400000000005,3.1320000000000001E-2
227,1,69.831599999999995,3.1309999999999998E-2
228,1,69.878699999999995,3.1309999999999998E-2
229,1,69.925799999999995,3.1300000000000001E-2
230,1,69.972800000000007,3.1300000000000001E-2
231,1,70.0197,3.1289999999999998E-2
232,1,70.066500000000005,3.1289999999999998E-2
233,1,70.113200000000006,3.1280000000000002E-2
234,1,70.159899999999993,3.1280000000000002E-2
235,1,70.206400000000002,3.1269999999999999E-2
236,1,70.252899999999997,3.1269999999999999E-2
237,1,70.299400000000006,3.1260000000000003E-2
238,1,70.345699999999994,3.1260000000000003E-2
239,1,70.391999999999996,3.1260000000000003E-2
240,1,70.438199999999995,3.125E-2
241,1,70.484300000000005,3.125E-2
242,1,70.5304,3.125E-2
243,1,70.576400000000007,3.124E-2
244,1,70.622399999999999,3.124E-2
245,1,70.668300000000002,3.1230000000000001E-2
246,1,70.714100000000002,3.1230000000000001E-2
247,1,70.759799999999998,3.1230000000000001E-2
248,1,70.805499999999995,3.1220000000000001E-2
249,1,70.851100000000002,3.1220000000000001E-2
250,1,70.896699999999996,3.1220000000000001E-2
251,1,70.9422,3.1220000000000001E-2
252,1,70.9876,3.1210000000000002E-2
253,1,71.033000000000001,3.1210000000000002E-2
254,1,71.078299999999999,3.1210000000000002E-2
255,1,71.123500000000007,3.1210000000000002E-2
256,1,71.168700000000001,3.1199999999999999E-2
257,1,71.213800000000006,3.1199999999999999E-2
258,1,71.258899999999997,3.1199999999999999E-2
259,1,71.303899999999999,3.1199999999999999E-2
260,1,71.348799999999997,3.1189999999999999E-2
261,1,71.393699999999995,3.1189999999999999E-2
262,1,71.438500000000005,3.1189999999999999E-2
263,1,71.483199999999997,3.1189999999999999E-2
264,1,71.527900000000002,3.1189999999999999E-2
265,1,71.572500000000005,3.1179999999999999E-2
266,1,71.617099999999994,3.1179999999999999E-2
267,1,71.661600000000007,3.1179999999999999E-2
268,1,71.706000000000003,3.1179999999999999E-2
269,1,71.750399999999999,3.1179999999999999E-2
270,1,71.794700000000006,3.1179999999999999E-2
271,1,71.838999999999999,3.1179999999999999E-2
272,1,71.883200000000002,3.1179999999999999E-2
273,1,71.927300000000002,3.117E-2
274,1,71.971400000000003,3.117E-2
275,1,72.0154,3.117E-2
276,1,72.059399999999997,3.117E-2
277,1,72.103300000000004,3.117E-2
278,1,72.147199999999998,3.117E-2
279,1,72.190899999999999,3.117E-2
280,1,72.234700000000004,3.117E-2
281,1,72.278300000000002,3.117E-2
282,1,72.321899999999999,3.117E-2
283,1,72.365499999999997,3.117E-2
284,1,72.408900000000003,3.117E-2
285,1,72.452299999999994,3.117E-2
286,1,72.495699999999999,3.117E-2
287,1,72.539000000000001,3.117E-2
288,1,72.5822,3.117E-2
289,1,72.625299999999996,3.117E-2
