day,L,M,S
0,0.38090000000000002,3.2322000000000002,0.14171
1,0.32590000000000002,3.1957,0.14577999999999999
2,0.31009999999999999,3.2103999999999999,0.14637
3,0.29859999999999998,3.2315,0.14657000000000001
4,0.28910000000000002,3.2557999999999998,0.14657999999999999
5,0.28100000000000003,3.2820999999999998,0.14646000000000001
6,0.2737,3.3098999999999998,0.14626
7,0.2671,3.3388,0.14599999999999999
8,0.26090000000000002,3.3687,0.14568999999999999
9,0.25509999999999999,3.3995000000000002,0.14534
10,0.24970000000000001,3.4314,0.14498
11,0.24460000000000001,3.4643000000000002,0.14459
12,0.2397,3.4983,0.14419999999999999
13,0.2349,3.5333000000000001,0.14380000000000001
14,0.23039999999999999,3.5693000000000001,0.14338999999999999
15,0.22600000000000001,3.6063000000000001,0.14299000000000001
16,0.2218,3.6438000000000001,0.14258000000000001
17,0.2177,3.6818,0.14218
18,0.2137,3.7201,0.14177000000000001
19,0.2099,3.7584,0.14138000000000001
20,0.20610000000000001,3.7968000000000002,0.14097999999999999
21,0.2024,3.8351999999999999,0.1406
22,0.19889999999999999,3.8734999999999999,0.14021
23,0.19539999999999999,3.9116,0.13983999999999999
24,0.19189999999999999,3.9495,0.13947000000000001
25,0.18859999999999999,3.9872000000000001,0.1391
26,0.18529999999999999,4.0247000000000002,0.13875000000000001
27,0.18210000000000001,4.0617999999999999,0.1384
28,0.1789,4.0987,0.13805000000000001
29,0.17580000000000001,4.1353,0.13771
30,0.17269999999999999,4.1715999999999998,0.13738
31,0.16969999999999999,4.2074999999999996,0.13705999999999999
32,0.1668,4.2431000000000001,0.13674
33,0.1638,4.2782999999999998,0.13643
34,0.161,4.3131000000000004,0.13613
35,0.15820000000000001,4.3475999999999999,0.13583000000000001
36,0.15540000000000001,4.3818000000000001,0.13553999999999999
37,0.15260000000000001,4.4154999999999998,0.13525999999999999
38,0.14990000000000001,4.4489999999999998,0.13497999999999999
39,0.14729999999999999,4.4820000000000002,0.13469999999999999
40,0.14460000000000001,4.5148000000000001,0.13444
41,0.14199999999999999,4.5472000000000001,0.13417999999999999
42,0.13950000000000001,4.5792999999999999,0.13392000000000001
43,0.13689999999999999,4.6109999999999998,0.13367000000000001
44,0.13439999999999999,4.6425000000000001,0.13342000000000001
