day,L,M,S
83,1,40.166800000000002,2.9360000000000001E-2
84,1,40.209600000000002,2.9329999999999998E-2
85,1,40.252099999999999,2.9309999999999999E-2
86,1,40.2943,2.929E-2
87,1,40.336199999999998,2.9270000000000001E-2
88,1,40.377800000000001,2.9250000000000002E-2
89,1,40.4191,2.9219999999999999E-2
90,1,40.460099999999997,2.92E-2
91,1,40.500799999999998,2.9180000000000001E-2
92,1,40.5413,2.9159999999999998E-2
93,1,40.581499999999998,2.9139999999999999E-2
94,1,40.621400000000001,2.912E-2
95,1,40.661099999999998,2.9100000000000001E-2
96,1,40.700499999999998,2.9080000000000002E-2
97,1,40.739600000000003,2.9069999999999999E-2
98,1,40.778500000000001,2.9049999999999999E-2
99,1,40.8172,2.903E-2
100,1,40.855499999999999,2.9010000000000001E-2
101,1,40.893599999999999,2.8989999999999998E-2
102,1,40.9315,2.8979999999999999E-2
103,1,40.969099999999997,2.896E-2
104,1,41.006500000000003,2.894E-2
105,1,41.043599999999998,2.8930000000000001E-2
106,1,41.080500000000001,2.8910000000000002E-2
107,1,41.117199999999997,2.8889999999999999E-2
108,1,41.153599999999997,2.8879999999999999E-2
109,1,41.189799999999998,2.886E-2
110,1,41.225700000000003,2.8850000000000001E-2
111,1,41.261499999999998,2.8830000000000001E-2
112,1,41.296999999999997,2.8819999999999998E-2
113,1,41.332299999999996,2.8799999999999999E-2
114,1,41.3673,2.879E-2
115,1,41.402200000000001,2.877E-2
116,1,41.436799999999998,2.8760000000000001E-2
117,1,41.471200000000003,2.8750000000000001E-2
118,1,41.505400000000002,2.8729999999999999E-2
119,1,41.539400000000001,2.8719999999999999E-2
120,1,41.573099999999997,2.8709999999999999E-2
121,1,41.606699999999996,2.869E-2
122,1,41.640099999999997,2.8680000000000001E-2
123,1,41.673200000000001,2.8670000000000001E-2
124,1,41.706200000000003,2.8649999999999998E-2
125,1,41.738900000000001,2.8639999999999999E-2
126,1,41.771500000000003,2.8629999999999999E-2
127,1,41.803800000000003,2.862E-2
128,1,41.835999999999999,2.861E-2
129,1,41.868000000000002,2.8590000000000001E-2
130,1,41.899700000000003,2.8580000000000001E-2
131,1,41.9313,2.8570000000000002E-2
132,1,41.962699999999998,2.8559999999999999E-2
133,1,41.993899999999996,2.8549999999999999E-2
134,1,42.024900000000002,2.8539999999999999E-2
135,1,42.055700000000002,2.853E-2
136,1,42.086399999999998,2.852E-2
137,1,42.116799999999998,2.8510000000000001E-2
138,1,42.147100000000002,2.8500000000000001E-2
139,1,42.177199999999999,2.8490000000000001E-2
140,1,42.207099999999997,2.8479999999999998E-2
141,1,42.236800000000002,2.8469999999999999E-2
142,1,42.266399999999997,2.8459999999999999E-2
143,1,42.295699999999997,2.845E-2
144,1,42.3249,2.844E-2
145,1,42.353999999999999,2.843E-2
146,1,42.382800000000003,2.8420000000000001E-2
147,1,42.411499999999997,2.8410000000000001E-2
148,1,42.44,2.8400000000000002E-2
149,1,42.468400000000003,2.8389999999999999E-2
150,1,42.496499999999997,2.8389999999999999E-2
151,1,42.5246,2.8379999999999999E-2
152,1,42.552399999999999,2.8369999999999999E-2
153,1,42.580100000000002,2.836E-2
154,1,42.607599999999998,2.835E-2
155,1,42.634900000000002,2.835E-2
156,1,42.662100000000002,2.8340000000000001E-2
157,1,42.6892,2.8330000000000001E-2
158,1,42.716000000000001,2.8320000000000001E-2
159,1,42.742699999999999,2.8320000000000001E-2
160,1,42.769300000000001,2.8309999999999998E-2
161,1,42.795699999999997,2.8299999999999999E-2
162,1,42.821899999999999,2.8289999999999999E-2
163,1,42.847999999999999,2.8289999999999999E-2
164,1,42.874000000000002,2.828E-2
165,1,42.899700000000003,2.827E-2
166,1,42.925400000000003,2.827E-2
167,1,42.950899999999997,2.826E-2
168,1,42.976199999999999,2.8250000000000001E-2
169,1,43.001399999999997,2.8250000000000001E-2
170,1,43.026400000000002,2.8240000000000001E-2
171,1,43.051299999999998,2.8230000000000002E-2
172,1,43.076099999999997,2.8230000000000002E-2
173,1,43.100700000000003,2.8219999999999999E-2
174,1,43.1252,2.8219999999999999E-2
175,1,43.149500000000003,2.8209999999999999E-2
176,1,43.173699999999997,2.8199999999999999E-2
177,1,43.197800000000001,2.8199999999999999E-2
178,1,43.221699999999998,2.819E-2
179,1,43.2455,2.819E-2
180,1,43.269100000000002,2.818E-2
181,1,43.292700000000004,2.818E-2
182,1,43.316000000000003,2.8170000000000001E-2
183,1,43.339300000000001,2.8170000000000001E-2
184,1,43.362400000000001,2.8160000000000001E-2
185,1,43.385399999999997,2.8160000000000001E-2
186,1,43.408299999999997,2.8150000000000001E-2
187,1,43.430999999999997,2.8150000000000001E-2
188,1,43.453600000000002,2.8139999999999998E-2
189,1,43.476100000000002,2.8139999999999998E-2
190,1,43.498399999999997,2.8129999999999999E-2
191,1,43.520600000000002,2.8129999999999999E-2
192,1,43.542700000000004,2.8119999999999999E-2
